cargo_category,cargo_type,vessel_type,min_dwt,max_dwt,draft,loa,beam
Dry Bulk,Cement,Supramax,53748,54248,11.0,199.7,32.5
Bulk Gases,LNG,LNG Carrier,95174,178872,12.1,279.3,45.4
Dry Bulk,Grain,Handysize,15289,24627,7.4,168.8,28.0
Liquid Bulk,Fuel Oil,LR1 Tanker,63598,79980,12.7,228.5,34.3
Dry Bulk,Iron Ore,Panamax,65414,86502,12.5,233.2,31.9
Bulk Gases,Ethylene,Gas Carrier,34546,35046,8.8,168.6,27.5
Liquid Bulk,Vegetable Oil,LR1 Tanker,61791,68718,11.9,215.1,34.2
Liquid Bulk,Diesel,Suezmax,134574,181668,16.1,268.7,47.8
Bulk Gases,LPG,LPG Carrier,53223,53723,10.4,188.1,30.0
Liquid Bulk,Petroleum Products,Aframax,100450,111285,14.4,242.0,44.2
Dry Bulk,Fertilizer,Supramax,44301,57348,11.0,186.8,32.4
Dry Bulk,Coal,Panamax,74692,90035,13.2,229.0,33.9
Dry Bulk,Grain,Capesize,120931,154977,16.0,284.0,44.9
Liquid Bulk,Diesel,Suezmax,107067,195745,16.3,277.3,47.6
Dry Bulk,Steel Products,Handysize,28093,45968,7.9,181.1,30.4
Bulk Gases,Ethylene,LNG Carrier,172444,172944,12.1,294.3,47.0
Liquid Bulk,Vegetable Oil,Aframax,87568,88068,13.9,261.3,41.9
Bulk Gases,Propane,LNG Carrier,119076,149435,11.9,299.6,45.6
Liquid Bulk,Chemicals,Suezmax,176777,185426,16.0,270.0,48.8
Dry Bulk,Salt,Supramax,46737,60091,10.4,198.6,31.3
Dry Bulk,Bauxite,Panamax,71859,87178,12.7,240.4,31.3
Dry Bulk,Bauxite,Handysize,27265,45949,7.3,175.0,30.8
Liquid Bulk,Fuel Oil,Suezmax,120960,203591,16.7,276.7,44.4
Dry Bulk,Fertilizer,Handysize,22121,39936,7.4,181.3,31.7
Dry Bulk,Steel Products,Capesize,157548,181397,16.0,302.8,45.6
Dry Bulk,Grain,Supramax,45349,52215,10.3,196.8,31.7
Liquid Bulk,Chemicals,MR Tanker,40071,52735,10.2,178.9,31.4
Dry Bulk,Grain,Handysize,28873,29373,7.1,178.1,29.8
Dry Bulk,Clinker,Handysize,17840,27320,8.0,185.0,30.4
Dry Bulk,Coal,Handysize,24001,43384,7.5,176.4,29.0
Liquid Bulk,Fuel Oil,MR Tanker,45779,46959,11.1,179.3,31.1
Dry Bulk,Grain,Handysize,38988,39488,7.1,182.1,30.7
Dry Bulk,Bauxite,Supramax,51704,61138,11.0,204.6,32.1
Liquid Bulk,Petroleum Products,MR Tanker,46683,52175,10.8,174.8,33.4
Liquid Bulk,Crude Oil,Suezmax,194673,221482,16.1,275.6,47.8
Bulk Gases,Ethylene,Gas Carrier,7933,35948,9.5,163.8,27.1
Liquid Bulk,Vegetable Oil,Suezmax,136707,193007,15.7,277.5,47.8
Dry Bulk,Steel Products,Supramax,48581,60449,10.8,202.4,31.4
Dry Bulk,Bauxite,Capesize,176300,178817,15.5,288.8,46.3
Dry Bulk,Cement,Panamax,69560,93571,12.8,233.9,32.2
Dry Bulk,Steel Products,Supramax,48555,51280,10.8,195.6,32.1
Liquid Bulk,Crude Oil,MR Tanker,39900,47223,10.8,174.7,31.1
Dry Bulk,Cement,Panamax,74998,82664,12.6,240.9,31.3
Dry Bulk,Cement,Supramax,54951,55451,10.5,196.0,32.2
Dry Bulk,Clinker,Panamax,71441,83106,13.2,227.0,31.2
Dry Bulk,Salt,Handysize,8162,41559,8.2,179.4,30.3
Dry Bulk,Bauxite,Handysize,26138,36427,7.8,185.0,30.8
Bulk Gases,LPG,Gas Carrier,22065,33917,9.4,172.0,28.2
Dry Bulk,Steel Products,Panamax,45287,96742,13.2,228.2,31.2
Liquid Bulk,Crude Oil,MR Tanker,44763,51715,10.5,188.1,31.2
Dry Bulk,Grain,Supramax,50242,61380,10.9,195.7,31.9
Dry Bulk,Coal,Handysize,37540,39856,7.4,178.8,30.1
Dry Bulk,Fertilizer,Panamax,85605,98722,13.0,233.7,31.7
Dry Bulk,Coal,Supramax,50358,58813,11.1,184.5,32.6
Liquid Bulk,Vegetable Oil,Aframax,115068,115568,14.3,260.3,41.7
Liquid Bulk,Crude Oil,LR1 Tanker,73605,74105,13.9,228.7,32.8
Dry Bulk,Bauxite,Supramax,54590,55090,10.5,200.9,32.2
Dry Bulk,Coal,Supramax,51367,56865,11.0,190.2,32.7
Dry Bulk,Iron Ore,Handysize,24784,29934,7.1,181.7,28.8
Dry Bulk,Salt,Panamax,64509,87879,12.8,225.9,30.0
Dry Bulk,Grain,Handysize,25833,40208,7.5,170.0,28.1
Liquid Bulk,Diesel,LR1 Tanker,60861,69338,12.2,233.8,35.3
Liquid Bulk,Crude Oil,LR1 Tanker,76805,77305,13.2,227.0,35.1
Dry Bulk,Grain,Supramax,49209,50909,10.6,195.6,31.7
Liquid Bulk,Fuel Oil,LR1 Tanker,66174,73791,12.3,237.6,34.8
Liquid Bulk,Chemicals,Suezmax,173812,216664,16.2,276.3,47.1
Liquid Bulk,Crude Oil,MR Tanker,39656,40156,10.8,177.5,32.6
Liquid Bulk,Petroleum Products,Suezmax,140072,172594,15.2,275.0,47.5
Dry Bulk,Cement,Supramax,45393,53563,9.6,189.0,30.2
Dry Bulk,Clinker,Capesize,150264,174411,14.8,297.0,44.8
Liquid Bulk,Gasoline,LR1 Tanker,61873,70192,12.8,223.7,35.3
Liquid Bulk,Crude Oil,LR1 Tanker,70220,70720,13.3,221.4,34.7
Liquid Bulk,Petroleum Products,LR1 Tanker,70410,78998,13.2,219.6,35.1
Bulk Gases,Ethylene,LNG Carrier,109107,145746,11.9,293.0,46.2
Dry Bulk,Salt,Supramax,34138,56953,10.4,208.1,32.0
Bulk Gases,Propane,LNG Carrier,107234,136757,11.5,288.5,46.9
Dry Bulk,Grain,Supramax,51169,55950,10.1,202.9,32.2
Bulk Gases,Propane,LPG Carrier,42686,54579,9.9,175.7,31.3
Bulk Gases,LPG,LPG Carrier,55074,59304,11.1,191.6,31.1
Bulk Gases,Ammonia,LNG Carrier,81753,107435,11.4,294.4,46.2
Dry Bulk,Salt,Supramax,52733,53233,10.9,197.1,31.9
Dry Bulk,Coal,Handysize,28323,30750,7.6,168.8,28.9
Bulk Gases,LPG,Gas Carrier,30789,34646,8.7,170.1,28.3
Dry Bulk,Clinker,Supramax,44182,55950,10.7,185.2,33.2
Dry Bulk,Bauxite,Handysize,27884,45535,8.2,189.0,29.1
Liquid Bulk,Petroleum Products,MR Tanker,40768,48234,11.3,189.5,34.1
Dry Bulk,Clinker,Supramax,48011,52058,10.1,200.0,31.2
Dry Bulk,Coal,Capesize,166833,174470,14.8,291.8,45.7
Liquid Bulk,Diesel,Suezmax,190018,190518,15.7,270.6,47.2
Dry Bulk,Steel Products,Capesize,164035,179299,15.5,287.6,46.1
Liquid Bulk,Chemicals,Aframax,92069,103122,13.9,247.0,44.4
Dry Bulk,Salt,Supramax,43693,61183,10.3,208.5,30.8
Liquid Bulk,Petroleum Products,Suezmax,190597,210570,17.0,277.3,47.9
Dry Bulk,Bauxite,Supramax,44632,48108,11.1,198.9,32.7
Liquid Bulk,Vegetable Oil,Suezmax,173013,173513,15.4,279.3,48.2
Liquid Bulk,Diesel,Suezmax,158655,183617,16.7,280.4,48.5
Dry Bulk,Salt,Capesize,155360,205926,16.0,294.9,45.1
Dry Bulk,Steel Products,Handysize,18277,31702,7.1,187.9,29.8
Dry Bulk,Steel Products,Capesize,154462,195311,16.9,291.3,44.6
Bulk Gases,Ethylene,LNG Carrier,158472,170692,11.7,300.6,46.9
Dry Bulk,Cement,Capesize,171856,188492,16.4,286.8,45.6
Liquid Bulk,Vegetable Oil,Aframax,107445,116287,13.4,237.5,41.6
Dry Bulk,Iron Ore,Handysize,20137,39903,7.2,185.5,28.1
Dry Bulk,Coal,Panamax,60750,91940,12.8,235.5,33.4
Liquid Bulk,Crude Oil,Aframax,107270,114417,13.9,227.4,42.8
Dry Bulk,Iron Ore,Capesize,115957,177579,16.7,309.7,44.5
Bulk Gases,Ammonia,LNG Carrier,79932,141544,11.2,286.6,45.7
Liquid Bulk,Chemicals,MR Tanker,40340,54553,11.0,179.0,33.3
Liquid Bulk,Chemicals,MR Tanker,49352,49852,9.8,169.0,32.6
Dry Bulk,Bauxite,Capesize,189181,189681,16.2,293.3,45.3
Liquid Bulk,Petroleum Products,Suezmax,161960,217553,16.0,278.6,47.3
Dry Bulk,Cement,Capesize,179750,218946,16.2,290.1,46.3
Dry Bulk,Grain,Capesize,143616,180850,15.4,289.3,45.4
Bulk Gases,LPG,LNG Carrier,153129,153629,11.9,304.4,46.3
Dry Bulk,Salt,Handysize,30165,41418,7.5,183.6,29.5
Dry Bulk,Coal,Panamax,85688,97635,12.2,213.6,31.3
Dry Bulk,Coal,Handysize,24241,25062,7.4,183.4,30.1
Liquid Bulk,Diesel,Suezmax,163395,163895,16.9,268.1,48.2
Bulk Gases,Ammonia,LNG Carrier,123975,124475,12.0,286.2,46.2
Liquid Bulk,Crude Oil,Suezmax,162628,171206,16.3,280.3,47.3
Dry Bulk,Iron Ore,Supramax,46583,54483,10.8,193.9,34.3
Liquid Bulk,Vegetable Oil,MR Tanker,45799,47054,12.1,174.2,33.2
Dry Bulk,Salt,Capesize,256316,256816,16.7,299.9,44.8
Bulk Gases,Ethylene,Gas Carrier,27983,42042,8.9,169.2,29.1
Bulk Gases,Ethylene,Gas Carrier,18127,30640,9.5,162.5,29.7
Liquid Bulk,Gasoline,LR1 Tanker,65027,65527,12.3,224.7,34.9
Liquid Bulk,Fuel Oil,Aframax,96566,97668,14.2,259.1,40.5
Dry Bulk,Coal,Capesize,143831,153118,16.1,295.7,49.0
Dry Bulk,Salt,Panamax,85080,85580,12.8,229.5,31.4
Dry Bulk,Grain,Panamax,76958,97359,13.0,221.1,32.4
Liquid Bulk,Vegetable Oil,LR1 Tanker,59275,73521,12.4,237.3,34.5
Liquid Bulk,Petroleum Products,Suezmax,135960,174522,16.0,276.2,47.4
Liquid Bulk,Vegetable Oil,MR Tanker,20040,59675,9.9,185.4,32.7
Liquid Bulk,Fuel Oil,Suezmax,181951,220787,16.3,270.4,46.6
Liquid Bulk,Gasoline,Suezmax,140759,179920,15.8,265.9,48.3
Dry Bulk,Cement,Capesize,125132,215207,15.6,283.6,45.0
Liquid Bulk,Diesel,Suezmax,130541,169052,15.5,273.1,47.5
Liquid Bulk,Chemicals,Aframax,87778,110438,13.9,250.7,41.0
Liquid Bulk,Vegetable Oil,Aframax,91208,103344,14.1,252.6,40.7
Dry Bulk,Iron Ore,Supramax,44602,46323,10.6,198.9,33.7
Bulk Gases,LNG,LNG Carrier,120738,149510,12.1,293.8,46.4
Dry Bulk,Salt,Handysize,28471,45898,7.0,161.9,30.9
Dry Bulk,Steel Products,Panamax,78101,83727,13.1,231.2,31.8
Dry Bulk,Cement,Capesize,173998,198805,16.5,280.0,44.1
Dry Bulk,Coal,Supramax,51187,56988,11.0,195.7,32.1
Dry Bulk,Salt,Handysize,34402,34902,7.8,178.1,30.7
Dry Bulk,Coal,Panamax,84018,84518,13.0,243.2,31.0
Dry Bulk,Coal,Panamax,82119,95785,11.8,224.9,31.7
Bulk Gases,Propane,Gas Carrier,24283,24783,9.0,171.0,29.1
Liquid Bulk,Petroleum Products,MR Tanker,37141,42252,10.5,181.8,33.9
Liquid Bulk,Chemicals,Suezmax,166890,215043,16.3,285.6,47.2
Bulk Gases,Ammonia,Gas Carrier,29607,32373,11.1,165.6,30.1
Liquid Bulk,Crude Oil,LR1 Tanker,81838,82338,13.1,217.0,36.5
Liquid Bulk,Chemicals,MR Tanker,21856,40288,10.6,177.3,31.1
Bulk Gases,Ammonia,LNG Carrier,100480,162007,12.4,291.4,46.0
Dry Bulk,Coal,Panamax,78657,98724,12.7,224.7,32.1
Dry Bulk,Salt,Handysize,26958,37908,7.9,171.0,31.0
Dry Bulk,Grain,Capesize,144228,184526,15.5,292.4,46.4
Liquid Bulk,Crude Oil,MR Tanker,34687,48136,11.0,178.9,32.8
Dry Bulk,Fertilizer,Handysize,24402,30149,7.8,182.8,30.5
Bulk Gases,Propane,LPG Carrier,41235,53851,10.2,170.2,28.8
Liquid Bulk,Vegetable Oil,LR1 Tanker,61170,70088,14.5,235.3,34.2
Dry Bulk,Cement,Panamax,89143,101608,12.6,230.8,30.5
Liquid Bulk,Chemicals,Aframax,89900,116053,13.9,238.9,40.4
Bulk Gases,Propane,LNG Carrier,143257,147561,12.6,290.4,45.1
Dry Bulk,Clinker,Supramax,52395,63429,11.4,190.6,31.2
Dry Bulk,Fertilizer,Panamax,66352,97858,12.6,222.6,33.1
Dry Bulk,Bauxite,Panamax,67392,98077,12.1,227.6,34.4
Dry Bulk,Fertilizer,Supramax,48409,52669,11.3,207.2,34.0
Dry Bulk,Bauxite,Capesize,120579,184146,15.8,285.9,45.7
Dry Bulk,Iron Ore,Supramax,38867,55529,11.3,199.5,33.4
Dry Bulk,Steel Products,Handysize,24540,27787,8.5,179.8,29.0
Bulk Gases,Ethylene,LNG Carrier,103084,160461,12.5,294.1,45.4
Liquid Bulk,Fuel Oil,Suezmax,144218,194427,16.0,282.4,46.8
Dry Bulk,Bauxite,Panamax,86694,94146,12.9,232.9,32.5
Dry Bulk,Cement,Handysize,24004,28401,7.7,185.2,29.5
Dry Bulk,Steel Products,Handysize,22362,24328,7.6,184.8,30.5
Dry Bulk,Grain,Handysize,27273,27773,8.0,171.0,29.0
Dry Bulk,Grain,Supramax,41310,50883,10.7,190.6,31.3
Bulk Gases,LPG,LPG Carrier,58588,66607,10.5,178.6,30.8
Liquid Bulk,Diesel,Aframax,104079,104579,14.6,235.0,41.6
Dry Bulk,Salt,Panamax,79728,91235,12.7,236.6,32.1
Bulk Gases,Propane,Gas Carrier,23721,42636,9.3,167.2,28.6
Dry Bulk,Coal,Panamax,101213,101713,11.5,230.6,33.8
Liquid Bulk,Diesel,LR1 Tanker,66698,67198,12.4,224.1,33.2
Dry Bulk,Iron Ore,Supramax,45110,50453,10.5,189.4,34.1
Bulk Gases,LPG,Gas Carrier,29985,30485,9.1,175.7,28.6
Dry Bulk,Coal,Panamax,74216,95104,12.4,229.6,34.2
Dry Bulk,Cement,Panamax,83060,91312,12.3,237.3,33.5
Dry Bulk,Iron Ore,Capesize,161500,228001,15.8,281.0,45.8
Liquid Bulk,Fuel Oil,Aframax,79953,97623,14.6,250.6,41.5
Dry Bulk,Fertilizer,Panamax,72486,91609,12.4,229.1,31.4
Dry Bulk,Fertilizer,Panamax,71755,76822,12.9,222.9,33.0
Liquid Bulk,Gasoline,Suezmax,105860,161761,15.9,268.1,47.1
Dry Bulk,Salt,Capesize,132732,170781,16.7,295.2,46.5
Dry Bulk,Iron Ore,Supramax,52860,53360,11.1,204.1,32.1
Dry Bulk,Cement,Supramax,53605,55811,10.8,199.3,32.2
Dry Bulk,Salt,Handysize,33199,33699,8.1,171.4,30.1
Dry Bulk,Salt,Capesize,149567,150067,16.1,296.5,44.9
Dry Bulk,Fertilizer,Capesize,118141,186521,15.6,294.0,44.6
Liquid Bulk,Vegetable Oil,Suezmax,161160,185237,15.8,280.1,47.2
Liquid Bulk,Gasoline,LR1 Tanker,69055,69555,11.9,220.2,36.8
Liquid Bulk,Chemicals,Suezmax,177670,178170,15.6,263.4,48.0
Dry Bulk,Iron Ore,Handysize,17865,33890,8.0,190.2,31.6
Dry Bulk,Grain,Capesize,204137,204637,16.1,275.7,44.9
Dry Bulk,Bauxite,Panamax,62205,93963,13.7,224.0,31.3
Dry Bulk,Clinker,Panamax,65561,103950,13.2,231.0,31.3
Liquid Bulk,Crude Oil,LR1 Tanker,76287,76787,13.4,219.5,34.9
Dry Bulk,Grain,Capesize,138446,187421,17.1,279.3,45.4
Liquid Bulk,Gasoline,LR1 Tanker,70576,71076,12.5,227.3,34.7
Bulk Gases,Propane,LNG Carrier,166831,167331,12.2,284.9,45.8
Dry Bulk,Grain,Supramax,47803,58312,11.0,196.1,32.6
Dry Bulk,Steel Products,Capesize,176147,176647,17.2,281.9,44.5
Dry Bulk,Iron Ore,Capesize,115609,185188,16.3,284.8,47.1
Liquid Bulk,Gasoline,MR Tanker,35890,43223,11.0,185.4,31.5
Liquid Bulk,Vegetable Oil,Suezmax,143662,182063,15.5,279.7,48.5
Bulk Gases,LPG,LNG Carrier,118704,119204,11.5,294.4,47.0
Bulk Gases,LPG,LPG Carrier,41526,56413,10.2,180.4,29.8
Bulk Gases,LPG,LPG Carrier,23464,52622,9.9,175.6,30.3
Dry Bulk,Steel Products,Panamax,77901,92618,11.7,228.8,32.7
Dry Bulk,Coal,Panamax,73833,90967,12.7,230.6,33.8
Liquid Bulk,Chemicals,MR Tanker,43406,50792,10.8,191.8,32.4
Dry Bulk,Fertilizer,Capesize,113870,191871,15.6,296.5,43.6
Dry Bulk,Salt,Supramax,40022,55042,11.3,192.1,30.9
Liquid Bulk,Crude Oil,LR1 Tanker,64835,65335,13.6,239.5,34.8
Dry Bulk,Iron Ore,Panamax,71761,83788,12.0,230.2,32.8
Dry Bulk,Iron Ore,Handysize,37410,37910,7.2,183.3,29.5
Bulk Gases,LNG,LNG Carrier,123492,145540,12.4,293.7,46.2
Dry Bulk,Fertilizer,Handysize,20129,40273,7.5,191.9,29.0
Dry Bulk,Iron Ore,Panamax,75031,75531,13.0,232.3,32.6
Dry Bulk,Grain,Capesize,144276,188887,16.4,284.6,47.3
Liquid Bulk,Gasoline,MR Tanker,41245,50668,11.3,178.1,32.2
Liquid Bulk,Gasoline,Suezmax,139368,163990,16.3,253.7,46.6
Liquid Bulk,Diesel,MR Tanker,37079,37607,10.0,188.8,32.5
Dry Bulk,Coal,Panamax,84083,96419,11.9,234.4,31.9
Liquid Bulk,Chemicals,Aframax,66147,123166,13.9,245.8,41.3
Dry Bulk,Coal,Supramax,52270,52770,10.1,217.8,28.8
Dry Bulk,Cement,Handysize,17463,31942,7.0,178.6,30.0
Dry Bulk,Coal,Capesize,85505,210999,16.1,290.9,44.9
Bulk Gases,Ethylene,LPG Carrier,39540,51444,10.2,175.7,29.1
Dry Bulk,Coal,Capesize,172673,173173,16.3,308.7,47.2
Dry Bulk,Grain,Capesize,161545,162045,16.7,287.0,46.8
Liquid Bulk,Petroleum Products,Suezmax,134409,160953,16.3,272.6,50.0
Dry Bulk,Clinker,Supramax,51154,62500,10.0,190.9,35.0
Liquid Bulk,Gasoline,Suezmax,118982,198496,16.1,270.0,49.2
Dry Bulk,Cement,Handysize,34459,34959,7.7,184.5,29.6
Dry Bulk,Bauxite,Panamax,58846,84142,13.3,226.5,31.8
Dry Bulk,Iron Ore,Capesize,127754,169429,15.6,291.6,44.7
Dry Bulk,Steel Products,Handysize,17588,34828,8.9,179.1,29.1
Bulk Gases,Ethylene,Gas Carrier,31869,36723,9.8,168.3,27.4
Dry Bulk,Cement,Capesize,153232,164445,16.9,293.9,43.3
Dry Bulk,Grain,Capesize,142238,189978,15.6,288.5,44.1
Dry Bulk,Coal,Capesize,148765,178168,15.3,290.8,45.5
Liquid Bulk,Chemicals,Aframax,83507,115375,14.6,244.5,40.1
Dry Bulk,Grain,Supramax,44365,56540,10.1,198.9,31.6
Dry Bulk,Bauxite,Capesize,163103,175524,16.2,292.9,44.6
Liquid Bulk,Gasoline,MR Tanker,55385,55885,11.1,188.3,31.6
Dry Bulk,Clinker,Handysize,21544,32478,7.9,184.2,30.9
Liquid Bulk,Chemicals,MR Tanker,41666,54877,10.7,179.6,32.6
Liquid Bulk,Crude Oil,MR Tanker,42839,43339,10.7,185.4,33.1
Liquid Bulk,Vegetable Oil,Aframax,90882,91660,13.4,237.0,40.5
Dry Bulk,Grain,Supramax,45046,53095,10.9,208.7,33.3
Dry Bulk,Salt,Panamax,71984,85107,13.8,221.5,32.7
Dry Bulk,Coal,Capesize,135393,195916,16.6,291.3,46.2
Dry Bulk,Steel Products,Panamax,118133,118633,13.1,238.1,30.9
Dry Bulk,Grain,Capesize,163480,172741,16.4,290.0,46.3
Dry Bulk,Fertilizer,Panamax,71881,111673,12.8,241.2,32.8
Liquid Bulk,Fuel Oil,LR1 Tanker,71946,72446,13.2,225.7,35.9
Bulk Gases,Ethylene,Gas Carrier,17754,28527,8.8,162.6,27.7
Liquid Bulk,Gasoline,LR1 Tanker,67355,70352,12.7,231.4,35.8
Liquid Bulk,Fuel Oil,LR1 Tanker,61678,67941,12.5,247.1,34.6
Dry Bulk,Grain,Supramax,54782,55282,10.5,203.3,33.1
Dry Bulk,Grain,Panamax,80437,95389,12.9,235.0,31.9
Dry Bulk,Coal,Handysize,20848,31821,8.1,184.7,30.6
Liquid Bulk,Vegetable Oil,Suezmax,167373,167873,16.0,270.7,48.6
Bulk Gases,LPG,LNG Carrier,122944,179615,12.9,298.2,45.4
Dry Bulk,Salt,Capesize,135463,143968,17.1,310.4,43.9
Dry Bulk,Steel Products,Panamax,73771,83826,12.2,220.0,32.9
Liquid Bulk,Petroleum Products,MR Tanker,30014,47836,10.3,169.0,31.5
Liquid Bulk,Crude Oil,MR Tanker,28300,45532,11.1,188.9,32.0
Dry Bulk,Steel Products,Capesize,166899,167399,16.0,288.5,43.4
Bulk Gases,LPG,LNG Carrier,91667,116035,11.9,296.1,46.0
Dry Bulk,Coal,Panamax,67173,92779,12.3,225.5,34.0
Bulk Gases,Propane,Gas Carrier,32217,32717,9.1,164.5,26.9
Liquid Bulk,Gasoline,LR1 Tanker,57255,67379,11.6,238.0,35.7
Liquid Bulk,Chemicals,Suezmax,147925,204868,16.2,282.5,47.5
Liquid Bulk,Chemicals,Suezmax,168380,168880,16.1,274.6,49.0
Dry Bulk,Steel Products,Capesize,137625,167866,16.8,299.3,45.4
Dry Bulk,Grain,Supramax,50842,58310,10.5,194.0,32.8
Bulk Gases,Propane,LNG Carrier,109920,176095,12.0,289.1,45.0
Dry Bulk,Clinker,Supramax,54069,58800,10.7,201.0,32.5
Bulk Gases,Propane,Gas Carrier,30156,30656,9.3,172.5,26.2
Liquid Bulk,Chemicals,LR1 Tanker,58903,80285,12.1,240.0,34.8
Dry Bulk,Bauxite,Capesize,135909,198927,16.5,294.4,43.6
Dry Bulk,Steel Products,Supramax,49238,49738,10.8,192.1,33.4
Dry Bulk,Steel Products,Supramax,51207,55987,11.1,217.6,31.9
Dry Bulk,Grain,Capesize,162851,163351,15.8,282.0,45.6
Bulk Gases,Propane,Gas Carrier,25796,26296,9.4,176.2,28.2
Dry Bulk,Clinker,Supramax,53216,53716,9.8,201.6,32.6
Dry Bulk,Clinker,Supramax,49271,56736,10.0,185.0,33.3
Dry Bulk,Steel Products,Supramax,51857,52578,9.5,197.9,31.2
Bulk Gases,LPG,LNG Carrier,141832,142332,12.3,292.4,48.1
Liquid Bulk,Diesel,Suezmax,174710,175210,16.3,273.6,46.9
Liquid Bulk,Crude Oil,Aframax,111063,114596,13.1,230.4,41.6
Dry Bulk,Bauxite,Panamax,86461,86961,13.0,235.2,32.7
Liquid Bulk,Chemicals,LR1 Tanker,69451,71082,12.2,230.2,34.3
Dry Bulk,Steel Products,Handysize,30284,35753,8.3,180.7,30.7
Liquid Bulk,Chemicals,Suezmax,165159,190815,16.1,271.8,48.1
Dry Bulk,Bauxite,Panamax,77389,106948,11.8,235.2,34.6
Dry Bulk,Bauxite,Capesize,140720,215000,16.3,288.6,45.1
Dry Bulk,Cement,Panamax,80851,93137,12.3,236.9,30.6
Dry Bulk,Coal,Handysize,20184,29729,7.6,179.1,30.7
Liquid Bulk,Crude Oil,Suezmax,124867,182740,15.7,275.0,48.9
Liquid Bulk,Chemicals,MR Tanker,40037,56415,10.8,179.3,32.2
Liquid Bulk,Petroleum Products,LR1 Tanker,49607,72996,13.4,224.1,36.5
Bulk Gases,Ethylene,LNG Carrier,115995,161351,11.7,294.2,49.2
Bulk Gases,Ammonia,LNG Carrier,94097,133707,12.0,286.8,46.5
Dry Bulk,Steel Products,Supramax,44945,56558,10.4,211.5,32.2
Dry Bulk,Clinker,Capesize,137755,194007,17.0,297.3,45.1
Dry Bulk,Coal,Capesize,197853,198353,17.1,296.6,45.6
Dry Bulk,Iron Ore,Panamax,79905,80405,12.6,223.8,31.8
Bulk Gases,LNG,LPG Carrier,38253,63332,10.1,173.7,28.5
Dry Bulk,Steel Products,Capesize,117944,214210,15.9,277.3,45.0
Dry Bulk,Clinker,Supramax,46608,56274,11.0,205.8,32.3
Dry Bulk,Salt,Supramax,52054,60789,10.0,190.2,32.6
Liquid Bulk,Diesel,Suezmax,137182,167873,16.1,275.0,48.0
Dry Bulk,Bauxite,Handysize,34130,35439,7.1,179.4,30.0
Liquid Bulk,Petroleum Products,LR1 Tanker,62209,69407,12.6,225.0,37.0
Dry Bulk,Iron Ore,Handysize,28540,36098,7.6,171.9,26.7
Liquid Bulk,Petroleum Products,Aframax,117838,123994,13.2,229.2,42.4
Dry Bulk,Bauxite,Supramax,59414,59914,11.5,202.4,29.8
Dry Bulk,Salt,Handysize,34260,34760,7.7,176.7,30.3
Dry Bulk,Fertilizer,Capesize,119714,154086,16.4,284.6,43.7
Liquid Bulk,Crude Oil,MR Tanker,24458,51617,12.0,174.0,30.9
Dry Bulk,Salt,Handysize,24929,37688,7.7,188.2,29.5
Dry Bulk,Grain,Panamax,76745,88223,11.6,229.7,32.7
Liquid Bulk,Gasoline,Suezmax,121177,170341,17.0,267.6,48.3
Dry Bulk,Coal,Panamax,74710,88118,11.8,233.4,31.5
Dry Bulk,Cement,Capesize,137259,211251,15.6,294.8,44.4
Dry Bulk,Salt,Handysize,23361,35448,7.1,182.7,29.2
Dry Bulk,Salt,Supramax,51082,51800,10.6,189.3,31.5
Dry Bulk,Fertilizer,Panamax,76019,96091,13.5,224.4,32.0
Dry Bulk,Grain,Panamax,68778,104464,12.4,233.9,32.7
Liquid Bulk,Vegetable Oil,Aframax,86424,112902,14.3,242.6,42.4
Liquid Bulk,Chemicals,MR Tanker,41376,42429,11.4,188.5,30.8
Bulk Gases,LPG,LNG Carrier,87958,181239,11.6,280.9,44.7
Dry Bulk,Bauxite,Supramax,45041,58499,10.8,189.4,31.9
Liquid Bulk,Vegetable Oil,LR1 Tanker,68631,69131,12.6,244.2,34.8
Liquid Bulk,Chemicals,LR1 Tanker,73810,74310,12.3,238.5,35.2
Liquid Bulk,Petroleum Products,Aframax,90810,123816,14.1,259.4,41.0
Dry Bulk,Clinker,Panamax,74046,94021,13.2,230.9,30.3
Liquid Bulk,Chemicals,MR Tanker,33433,49196,11.0,181.2,31.6
Liquid Bulk,Chemicals,Aframax,94888,101923,13.8,246.9,42.2
Dry Bulk,Clinker,Panamax,64236,90269,12.8,232.3,32.4
Dry Bulk,Iron Ore,Panamax,95019,95519,12.5,226.2,31.8
Dry Bulk,Salt,Supramax,52566,53066,9.6,203.5,32.3
Dry Bulk,Grain,Panamax,68693,101668,13.1,233.0,31.0
Liquid Bulk,Diesel,Suezmax,193201,193701,15.7,279.5,46.9
Liquid Bulk,Diesel,Suezmax,194115,212511,16.4,268.0,47.1
Liquid Bulk,Fuel Oil,LR1 Tanker,54379,72517,12.7,234.1,36.2
Liquid Bulk,Diesel,Aframax,106632,112783,14.2,236.7,43.0
Dry Bulk,Grain,Panamax,79321,99391,12.7,247.4,33.5
Dry Bulk,Coal,Panamax,56951,93621,13.4,226.0,31.8
Liquid Bulk,Diesel,Suezmax,201331,201831,16.3,272.7,48.9
Dry Bulk,Grain,Panamax,70394,80727,13.1,241.8,32.2
Dry Bulk,Cement,Panamax,83154,96178,12.9,238.2,34.2
Dry Bulk,Grain,Supramax,40344,59679,11.7,207.3,31.3
Bulk Gases,Propane,Gas Carrier,37953,38453,9.6,176.5,29.9
